,id,lang
0,145525983,en
1,958088669373648896,en
2,245602133,en
3,1887435572,en
4,1523737628679581699,en
5,48370163,en
6,2440093922,en
7,715276822489997312,en
9,16403723,en
10,14209256,en
11,795829700421513216,en
12,17531651,en
13,3190262468,en
14,825843575573274624,en
15,8940342,en
16,386896337,en
17,590735039,en
18,22560652,en
19,259374216,en
20,705669136,en
21,337737444,en
22,1404249308178812929,en
23,382314245,en
26,1490809853798981633,en
27,1458755052995104769,en
28,2174828818,en
29,20832236,en
30,30261067,en
31,800942537083068416,en
32,1039281379094278146,en
34,1382908491216601091,en
35,176831580,en
36,94334419,en
37,242374336,en
38,3586469713,en
39,582873149,en
40,1260218638629507072,en
41,2824991076,en
43,14923847,en
44,753283456012910592,en
45,1918976288,en
46,2998828049,en
50,18810464,en
51,1458518137884876800,en
52,1520736655229042689,en
53,1285373173320634368,en
54,2367556213,en
55,863313000714956800,en
56,88558972,en
57,285587259,en
58,1346548053759561728,en
59,1025780552417378306,en
60,1311107500096155651,en
61,3403327349,en
62,844608034525478912,en
63,632585356,en
64,1160184193541988353,en
65,90406866,en
66,1127995728813547520,en
67,767788995962998784,en
69,2914950562,en
70,1273659991560523778,en
71,782208748282675200,en
72,1519810681054375936,en
73,489756858,en
74,23246647,en
75,1097149243,en
76,573255325,en
77,1134345477317701632,en
79,887827510519640064,en
80,1294190567992090625,en
81,872736492,en
83,1478909176596291594,en
84,1238248543451779073,en
85,17028405,en
86,1259841252,en
87,1095929041,en
88,398697070,en
89,64115649,en
90,1523687050519597058,en
91,109337812,en
92,1274485502758940673,en
93,1215623670,en
94,1451293964464701442,en
95,798762390,en
96,803687773,en
97,14139469,en
98,2836565937,en
99,1523627175668326400,en
100,847491998508474370,en
101,2908641807,en
102,1518707424626061312,en
103,1221891908,en
104,1235718324,en
105,1512129630249136135,en
106,570138090,en
107,23813887,en
108,1347586062382600199,en
109,1909644289,en
111,1519403416027643909,en
112,293048332,en
113,604370913,en
114,44175599,en
115,1176474920538300417,en
116,909256511888560128,en
117,2985367511,en
118,28168130,en
119,1011970623470489601,en
120,909600348729462784,en
121,17376893,en
122,66050432,en
123,3045109407,en
124,629535907,en
125,1485946845146796036,en
126,1088797242356572160,en
127,2811558569,en
128,3839,en
129,1325272935687479297,en
130,106690902,en
131,1225567802414837760,en
132,2916243165,en
133,1351334632361324547,en
134,517820893,en
135,1267163752790552576,en
136,43369337,en
137,1478860046012493829,en
138,1518696437839802369,en
139,360737087,en
140,290765127,en
141,1356883099,en
142,615185696,en
143,178849882,en
144,1491064333777973254,en
145,18680024,en
148,279358548,en
149,1883984588,en
150,465713768,en
